,title,year,certificate,runtime,genre,rating
29,Ram Setu,2022,UA,140 min,"Action, Adventure            ",5.2
30,Raksha Bandhan,2022,U,108 min,"Comedy, Drama, Family            ",5.1
31,The Happening,2008,UA,91 min,"Adventure, Drama, Sci-Fi            ",5.0
32,3 Idiots,2009,UA,170 min,"Comedy, Drama            ",8.4
33,HIT: The 2nd Case,2022,A,150 min,"Action, Crime, Drama            ",7.7
34,Drishyam,2015,UA,163 min,"Crime, Drama, Mystery            ",8.2
35,Tanaav,2022–,UA 16+,30 min,"Action, Crime, Drama            ",8.5
36,Bridge of Spies,2015,UA,142 min,"Drama, History, Thriller            ",7.6
37,Mukhbir - The Story of a Spy,2022–,UA,40 min,"Drama, Mystery, Thriller            ",7.8
38,Monster,III 2022,UA,135 min,"Action, Adventure, Crime            ",4.6
39,Vikram Vedha,2022,UA,160 min,"Action, Crime, Drama            ",7.1
40,Flames,2018–,Not Rated,20 min,"Comedy, Drama, Romance            ",8.9
41,Ghost in the Shell,2017,U,107 min,"Action, Crime, Drama            ",6.3
42,The Turning,2020,18,94 min,"Drama, Horror, Mystery            ",3.9
43,Breathe: Into the Shadows,2020–,16,46 min,"Drama, Thriller            ",7.6
44,Tumbbad,2018,A,104 min,"Drama, Fantasy, Horror            ",8.2
45,Finch,2021,UA 13+,115 min,"Adventure, Drama, Sci-Fi            ",6.9
46,Dredd,2012,A,95 min,"Action, Crime, Sci-Fi            ",7.1
47,Kumari,2022,UA,137 min,"Horror, Thriller            ",6.5
48,Life of Pi,2012,U,127 min,"Adventure, Drama, Fantasy            ",7.9
49,Lincoln,2012,U,150 min,"Biography, Drama, History            ",7.3
50,Liger,2022,UA,140 min,"Action, Drama, Romance            ",3.0
51,Mismatched,2020–,15+,30 min,"Comedy, Drama, Romance            ",5.8
52,Nitham Oru Vaanam,2022,U,146 min,Drama            ,7.5
53,HIT: The First Case,2022,UA,132 min,"Action, Crime, Drama            ",6.8
54,Hit,2020,UA,125 min,"Action, Crime, Drama            ",7.6
55,The Girl on the Train,2016,A,112 min,"Crime, Drama, Mystery            ",6.5
56,Lion,2016,U,118 min,"Biography, Drama            ",8.0
57,Uunchai,2022,U,173 min,"Adventure, Drama            ",7.8
58,Kooman,2022,UA,153 min,"Drama, Mystery, Thriller            ",7.5
59,Doctor G,2022,A,124 min,"Comedy, Drama            ",7.1
60,Rorschach,2022,UA,150 min,"Action, Mystery, Thriller            ",7.1
61,Four More Shots Please!,2019–2022,18+,60 min,"Comedy, Drama, Romance            ",7.4
62,Karthikeya 2,2022,UA,150 min,"Action, Adventure, Fantasy            ",7.9
63,Laal Singh Chaddha,2022,UA,159 min,"Comedy, Drama, Romance            ",5.5
64,The Family Man,2019–,16+,45 min,"Action, Comedy, Drama            ",8.7
65,The Legend of Hanuman,2021–,PG,25 min,Animation            ,9.2
66,Thank God,2022,UA,121 min,"Comedy, Fantasy            ",6.1
67,K.G.F: Chapter 2,2022,UA,168 min,"Action, Crime, Drama            ",8.4
68,I Am Number Four,2011,UA,111 min,"Action, Adventure, Sci-Fi            ",6.1
69,The Bourne Supremacy,2004,A,108 min,"Action, Mystery, Thriller            ",7.7
70,The Fall,I 2006,R,117 min,"Adventure, Drama, Fantasy            ",7.8
71,Scam 1992: The Harshad Mehta Story,2020,18,54 min,"Biography, Crime, Drama            ",9.3
72,Padavettu,2022,UA 16+,145 min,"Action, Drama, Thriller            ",7.8
73,The Foreigner,I 2017,A,113 min,"Action, Thriller            ",7.0
74,Drishyam 2,2021,13,152 min,"Crime, Drama, Thriller            ",8.4
75,Real Steel,2011,UA,127 min,"Action, Drama, Sci-Fi            ",7.0
76,The Trial of the Chicago 7,2020,18,129 min,"Drama, History, Thriller            ",7.7
77,The BFG,2016,UA,117 min,"Adventure, Family, Fantasy            ",6.3
78,War Horse,2011,U,146 min,"Action, Adventure, Drama            ",7.2
79,Cirkus,2022,UA,112 min,"Comedy, Drama            ",8.0
80,Bãhubali: The Beginning,2015,UA,159 min,"Action, Drama            ",8.3
81,Tapana,2022,A,96 min,Romance            ,8.9
82,Panchayat,2020–,16,35 min,"Comedy, Drama            ",8.3
83,Crushed,2022–,UA 13+,27 min,"Comedy, Drama, Romance            ",8.1
84,Gandhi,1982,U,191 min,"Biography, Drama, History            ",9.3
85,Kabir Singh,2019,A,173 min,"Action, Drama, Romance            ",5.1
86,Conan the Barbarian,2011,A,113 min,"Action, Adventure, Fantasy            ",6.4
87,Need for Speed,2014,UA,132 min,"Action, Thriller            ",7.2
88,The Darjeeling Limited,2007,R,91 min,"Adventure, Comedy, Drama            ",7.0
89,Phone Bhoot,2022,UA,136 min,"Comedy, Horror            ",7.5
90,Iss Pyaar Ko Kya Naam Doon,2011–2018,PG,22 min,"Drama, Romance            ",9.8
91,Maarrich,2022,UA,126 min,"Crime, Mystery, Thriller            ",8.5
92,Sacred Games,2018–2019,A,50 min,"Action, Crime, Drama            ",9.1
93,Kota Factory,2019–2021,16,45 min,"Comedy, Drama            ",7.7
94,Chhello Show,2021,U,110 min,Drama            ,6.0
95,Cowboys & Aliens,2011,13,119 min,"Action, Sci-Fi, Thriller            ",8.9
96,777 Charlie,2022,UA,136 min,"Adventure, Comedy, Drama            ",8.8
97,Rocketry: The Nambi Effect,2022,UA,157 min,"Biography, Drama            ",8.2
98,Major,2022,UA,150 min,"Action, Biography, Drama            ",9.1
99,TVF Pitchers,2015–2022,Not Rated,40 min,"Comedy, Drama            ",7.3
100,The Hundred-Foot Journey,2014,PG,122 min,"Comedy, Drama            ",7.6
101,Pathaan,2023,UA,146 min,"Action, Drama, Thriller            ",8.4
102,Pushpa: The Rise - Part 1,2021,UA,179 min,"Action, Crime, Drama            ",7.3
103,Gangubai Kathiawadi,2022,UA,152 min,"Biography, Crime, Drama            ",7.2
104,Vikram,2022,UA,175 min,"Action, Crime, Thriller            ",7.9
105,The Way Back,I 2010,A,133 min,"Adventure, Drama, History            ",8.2
106,A Dog's Purpose,2017,U,100 min,"Adventure, Comedy, Drama            ",8.9
107,Girls Hostel,2018–,12+,23 min,"Comedy, Drama            ",6.4
108,Vadh,2022,A,110 min,"Drama, Thriller            ",8.7
109,Jai Bhim,2021,A,164 min,"Crime, Drama, Mystery            ",7.0
110,Fright Night,2011,A,106 min,"Comedy, Horror            ",8.5
111,Runway 34,2022,UA,145 min,"Drama, Thriller            ",7.3
112,Delhi Crime,2019–,16+,50 min,"Crime, Drama            ",4.5
113,Sultan,2016,UA,170 min,"Action, Drama, Sport            ",8.0
114,Jamtara: Sabka Number Ayega,2020–,18,29 min,Crime            ,7.6
115,Gold,V 2022,U,165 min,"Comedy, Drama, Thriller            ",6.8
116,Paatal Lok,2020–,18,44 min,"Crime, Drama, Thriller            ",8.5
117,Sardar,2022,UA,166 min,"Action, Drama            ",8.4
118,Tadka,2022,UA 13+,177 min,"Comedy, Drama, Romance            ",4.4
119,Hostel Daze,2019–,16,159 min,"Comedy, Drama            ",6.9
120,Saudi Vellakka,2022,U,137 min,Drama            ,8.1
121,Dobaaraa,2022,UA,132 min,"Drama, Fantasy, Mystery            ",6.0
122,Shooter,II 2022,Not Rated,143 min,Action            ,7.8
123,PK,2014,UA,153 min,"Comedy, Drama, Sci-Fi            ",6.5
124,The House with a Clock in Its Walls,2018,UA,105 min,"Comedy, Family, Fantasy            ",8.2
125,Criminal Justice: Adhura Sach,2022–,UA 16+,45 min,"Crime, Drama, Mystery            ",7.2
126,Bulbbul,2020,16,94 min,"Drama, Horror, Mystery            ",8.2
127,Baahubali 2: The Conclusion,2017,UA,167 min,"Action, Drama            ",4.8
128,Gatta Kusthi,2022,U,144 min,Comedy            ,8.2
129,Andhadhun,2018,UA,139 min,"Comedy, Crime, Music            ",6.9
130,Shut In,I 2016,PG-13,91 min,"Drama, Horror, Mystery            ",7.5
131,Uri: The Surgical Strike,2019,UA,138 min,"Action, Drama, History            ",8.3
132,Miral,2022,UA,115 min,Drama            ,7.4
133,Lekh,2022,U,123 min,"Drama, Romance            ",8.6
134,The Kashmir Files,2022,A,170 min,Drama            ,7.2
135,A Dog's Journey,2019,U,109 min,"Adventure, Comedy, Drama            ",4.5
136,Special OPS,2020–,15+,49 min,"Action, Crime, Thriller            ",7.9
137,The Light Between Oceans,2016,PG-13,133 min,"Drama, Romance            ",7.1
138,Dangerous,I 2021,A,99 min,"Action, Romance, Thriller            ",8.2
139,Mili,2022,UA,127 min,"Drama, Thriller            ",8.5
140,The White Tiger,2021,16,125 min,"Crime, Drama            ",9.1
141,Gangs of Wasseypur,2012,A,321 min,"Action, Comedy, Crime            ",8.3
142,Kaithi,2019,UA,145 min,"Action, Adventure, Crime            ",2.8
143,Gullak,2019–,12+,24 min,"Comedy, Drama, Family            ",8.2
144,Apharan,2018–,18+,45 min,"Action, Crime, Thriller            ",8.5
145,Snowman,2022,A,79 min,"Action, Drama            ",6.5
146,Suzhal - The Vortex,2022–,UA 16+,46 min,"Crime, Drama, Thriller            ",8.2
147,TVF Tripling,2016–,Not Rated,30 min,"Comedy, Drama            ",8.3
148,Dhoom:2,2006,UA,152 min,"Action, Crime, Thriller            ",8.1
149,K.G.F: Chapter 1,2018,UA,156 min,"Action, Crime, Drama            ",8.3
150,Chhichhore,2019,UA,143 min,"Comedy, Drama, Romance            ",7.1
151,Dangal,2016,U,161 min,"Action, Biography, Drama            ",7.5
152,VR (Vikrant Rona),2022,UA 13+,148 min,"Action, Crime, Drama            ",9.5
153,Sir,I 2018,15+,99 min,"Drama, Romance            ",7.7
154,The Teacher,II 2022,UA,121 min,"Drama, Thriller            ",8.7
155,Laila Majnu,2018,UA,140 min,"Drama, Romance            ",7.1
156,Mastram,2020–,18,20 min,"Comedy, Fantasy            ",5.3
157,The Man Who Knew Infinity,2015,U,108 min,"Biography, Drama            ",6.6
158,ImMATURE,2019–,Not Rated,25 min,"Comedy, Drama, Romance            ",6.8
159,Ginna,2022,UA,136 min,"Action, Comedy, Drama            ",8.2
160,Hush Hush,2022–,A,44 min,Drama            ,8.4
161,Darlings,I 2022,UA 16+,133 min,"Comedy, Drama, Thriller            ",6.2
162,The Reluctant Fundamentalist,2012,UA,130 min,"Drama, Thriller            ",3.5
163,Zindagi Na Milegi Dobara,2011,U,155 min,"Comedy, Drama, Musical            ",7.4
164,Taare Zameen Par,2007,U,165 min,"Drama, Family            ",5.0
165,Jug Jugg Jeeyo,2022,UA,148 min,"Comedy, Drama, Family            ",6.4
166,Naagin,2015–,13,60 min,"Drama, Fantasy, Mystery            ",6.3
167,Kabhi Khushi Kabhie Gham...,2001,U,210 min,"Drama, Musical, Romance            ",4.4
168,Dilwale,2015,UA,158 min,"Action, Comedy, Drama            ",6.7
169,Delivery Man,2013,UA,105 min,"Comedy, Drama            ",7.6
170,Dsp,2022,UA,144 min,Action            ,4.9
171,Om Shanti Om,2007,UA,162 min,"Action, Comedy, Drama            ",7.9
172,Maharani,2021–,A,43 min,Drama            ,7.6
173,Shiddat,2021,UA 13+,146 min,Romance            ,8.4
174,Shamshera,2022,UA,178 min,"Action, Adventure, Drama            ",7.3
175,Kal Ho Naa Ho,2003,U,186 min,"Comedy, Drama, Musical            ",8.1
176,Kuch Kuch Hota Hai,1998,U,177 min,"Comedy, Drama, Musical            ",7.9
177,Shershaah,2021,UA,135 min,"Action, Biography, Drama            ",7.9
178,Gadar: Ek Prem Katha,2001,UA,170 min,"Action, Drama, Romance            ",6.9
179,A Wednesday,2008,UA,104 min,"Action, Crime, Drama            ",7.9
180,Mimi,I 2021,13,132 min,"Comedy, Drama            ",3.9
181,My Name Is Khan,2010,UA,165 min,"Adventure, Drama, Romance            ",7.0
182,Haseen Dillruba,2021,18,135 min,"Crime, Drama, Mystery            ",5.8
183,Thiruchitrambalam,2022,UA,131 min,"Comedy, Drama, Musical            ",7.1
184,Bigg Boss,2006–,16+,42 min,Reality-TV            ,6.6
185,Badhaai Do,2022,UA,147 min,"Comedy, Crime, Drama            ",7.5
186,Cuttputlli,2022,UA 16+,120 min,"Crime, Drama, Mystery            ",7.4
187,Raees,2017,UA,143 min,"Action, Crime, Drama            ",6.0
188,Stree,2018,UA,128 min,"Comedy, Horror            ",7.6
189,Dear Zindagi,2016,UA,151 min,"Drama, Romance            ",7.8
190,Bimbisara,2022,UA,146 min,"Action, Drama, Fantasy            ",7.6
191,Khuda Haafiz Chapter II: Agni Pariksha,2022,A,144 min,"Action, Crime, Drama            ",6.6
192,Har Har Mahadev,2022,UA,161 min,"Action, Drama, War            ",8.3
193,Come Play,2020,A,96 min,"Drama, Horror, Mystery            ",6.9
194,Naai Sekar Returns,2022,U,140 min,Comedy            ,8.2
195,Pather Panchali,1955,U,125 min,Drama            ,5.7
196,House of Secrets: The Burari Deaths,2021,18,135 min,"Documentary, Crime, History            ",9.2
197,Comali,2019,U,143 min,Comedy            ,7.3
198,"Swades: We, the People",2004,U,210 min,"Drama, Musical            ",8.3
199,Bullet to the Head,2012,A,92 min,"Action, Crime, Thriller            ",8.4
200,Aspirants,2021–,Not Rated,45 min,Drama            ,8.1
201,Jersey,2022,UA,170 min,"Drama, Sport            ",7.2
202,Sardar Udham,2021,UA 13+,164 min,"Biography, Crime, Drama            ",8.4
203,Lagaan: Once Upon a Time in India,2001,U,224 min,"Drama, Musical, Sport            ",9.1
204,Mom,I 2017,UA,146 min,"Crime, Drama, Thriller            ",4.7
205,Devdas,I 2002,U,185 min,"Drama, Musical, Romance            ",6.4
206,Garuda Gamana Vrishabha Vahana,2021,A,151 min,"Crime, Drama, Thriller            ",7.5
207,NCR Days,2022–,Not Rated,40 min,Drama            ,6.2
208,Mismatch,2018–,A,20 min,Comedy            ,6.6
209,Lust Stories,2018,A,120 min,"Drama, Romance            ",4.5
210,Lucifer,2019,UA,175 min,"Action, Crime, Drama            ",7.0
211,Bride & Prejudice,2004,U,122 min,"Comedy, Drama, Musical            ",7.2
212,Anek,2022,UA,147 min,"Action, Drama, Sport            ",8.0
213,Ek Villain Returns,2022,UA,129 min,"Action, Crime, Romance            ",5.2
214,Yeh Kaali Kaali Ankhein,2022–,16,51 min,"Comedy, Crime, Mystery            ",7.1
215,Bajirao Mastani,2015,U,158 min,"Action, Drama, History            ",6.2
216,Dilwale Dulhania Le Jayenge,1995,U,189 min,"Drama, Romance            ",7.2
217,Zero,III 2018,UA,164 min,"Comedy, Drama, Romance            ",9.6
218,Sonu Ke Titu Ki Sweety,2018,UA,138 min,"Comedy, Romance            ",7.5
219,Maja Ma,2022,UA 16+,134 min,"Comedy, Drama            ",6.2
220,Jogi,2022,UA 16+,116 min,"Drama, Thriller            ",7.9
221,Pratikshya,2022,U,137 min,Drama            ,7.3
222,Tanhaji: The Unsung Warrior,2020,UA,135 min,"Action, Biography, Drama            ",7.6
223,Vanity Fair,2004,PG-13,141 min,Drama            ,9.6
224,Gully Boy,2019,UA,154 min,"Drama, Music, Romance            ",2.2
225,Indian Predator: Murder in a Courtroom,2022,A,168 min,"Documentary, Crime            ",7.8
226,Ludo,2020,16,149 min,"Action, Comedy, Crime            ",8.6
227,Vijayanand,2022,U,159 min,Biography            ,8.3
228,Climax,I 2020,A,52 min,"Action, Horror, Thriller            ",5.3
229,Aarya,2020–,16,51 min,"Crime, Drama, Thriller            ",6.7
230,Broken But Beautiful,2018–,18,22 min,"Drama, Romance            ",5.6
231,Mulshi Pattern,2018,A,155 min,"Crime, Drama            ",7.0
232,Antim: The Final Truth,2021,UA,138 min,"Action, Crime, Drama            ",6.0
233,Paranoia,I 2013,PG-13,106 min,"Drama, Thriller            ",7.0
234,Don 2,2011,UA,148 min,"Action, Crime, Thriller            ",7.3
235,Ranga Ranga Vaibhavanga,2022,UA,122 min,"Comedy, Drama, Romance            ",5.7
236,Bigg Boss Telugu,2017–,12+,90 min,Reality-TV            ,6.0
237,Padmaavat,2018,UA,164 min,"Drama, History, Romance            ",6.2
238,Tamasha,2015,UA,139 min,"Comedy, Drama, Romance            ",7.8
239,Bhool Bhulaiyaa 2,2022,UA,143 min,"Comedy, Drama, Horror            ",4.5
240,Kabhi Alvida Naa Kehna,2006,UA,193 min,"Drama, Romance            ",7.1
241,Honeymoon,2022,U,134 min,"Comedy, Drama            ",6.2
242,Badla,2019,UA,118 min,"Crime, Drama, Mystery            ",4.3
243,Prince,2022,U,143 min,"Action, Drama, Romance            ",7.7
244,Dhamaka,2021,13,103 min,"Crime, Drama, Thriller            ",3.4
245,Urvasivo Rakshasivo,2022,UA,141 min,"Drama, Romance            ",8.3
246,Hacked,II 2020,A,118 min,Thriller            ,6.2
247,Meru,2015,R,90 min,"Documentary, Sport            ",6.5
248,Gandii Baat,2018–,18+,40 min,"Crime, Drama, Thriller            ",7.3
249,Vikram Vedha,2017,UA,147 min,"Action, Crime, Drama            ",6.1
250,The Fifth Estate,2013,UA,128 min,"Biography, Crime, Drama            ",7.8
251,Ghajini,2008,UA,186 min,"Action, Drama, Mystery            ",6.5
252,Thar,2022,A,108 min,"Action, Crime, Drama            ",7.7
253,Criminal Justice,2019–,15+,50 min,"Crime, Drama, Mystery            ",8.1
254,Kaagaz Ke Phool,1959,U,148 min,Romance            ,6.4
255,Rockstar,2011,UA,159 min,"Drama, Music, Romance            ",7.5
256,The Second Best Exotic Marigold Hotel,2015,PG,122 min,"Comedy, Drama, Romance            ",7.6
257,Never Kiss Your Best Friend,2020–,A,24 min,Romance            ,7.9
258,Dil Bechara,2020,12+,101 min,"Comedy, Drama, Romance            ",6.8
259,Atrangi Re,2021,UA 13+,138 min,"Comedy, Drama, Fantasy            ",7.9
260,Dil Se..,1998,A,144 min,"Drama, Romance            ",7.7
261,Sanju,2018,UA,155 min,"Biography, Comedy, Drama            ",7.7
262,M.S. Dhoni: The Untold Story,2016,U,184 min,"Biography, Drama, Sport            ",7.7
263,Bard of Blood,2019–,16+,45 min,"Action, Adventure, Drama            ",7.5
264,Inside Edge,2017–,18+,45 min,"Drama, Sport            ",7.5
265,Raazi,2018,UA,138 min,"Action, Drama, Thriller            ",7.8
266,A Thursday,2022,UA 16+,128 min,"Drama, Thriller            ",4.2
267,Masooda,2022,A,160 min,"Horror, Thriller            ",7.8
268,The Namesake,2006,U,122 min,Drama            ,5.8
269,83,2021,U,162 min,"Biography, Drama, History            ",7.0
270,The Lunchbox,2013,U,104 min,"Drama, Romance            ",6.1
271,Chandni Chowk to China,2009,U,154 min,"Action, Adventure, Comedy            ",4.8
272,A Suitable Boy,2020,15+,60 min,"Drama, Romance            ",5.0
273,Aranyak,2021–,A,48 min,"Crime, Drama, Mystery            ",8.6
274,Ae Dil Hai Mushkil,2016,UA,158 min,"Drama, Music, Musical            ",7.2
275,Veer-Zaara,2004,U,192 min,"Drama, Family, Musical            ",8.1
276,People Like Us,2012,PG-13,114 min,"Comedy, Drama            ",7.8
277,Maa Da Ladla,2022,U,140 min,"Comedy, Drama            ",7.9
278,Macherla Niyojakavargam,2022,UA,159 min,"Action, Comedy, Drama            ",7.2
279,The Ghost,2022,UA,122 min,"Action, Thriller            ",7.9
280,Aashram,2020–2022,Not Rated,45 min,"Crime, Drama, Mystery            ",7.1
281,Article 15,2019,UA,130 min,"Crime, Drama, Mystery            ",7.8
282,Bhaukaal,2020–,15+,30 min,"Action, Crime            ",3.7
283,Kaisi Yeh Yaariyan,2014–,13,30 min,Drama            ,8.2
284,Maharshi,2019,UA,176 min,"Action, Drama            ",8.2
285,Human,2022–,A,45 min,"Drama, Thriller            ",6.2
286,Karm Yuddh,2022–,UA 16+,35 min,Drama            ,2.6
287,Dahan: Raakan Ka Rahasya,2022–,A,49 min,Thriller            ,4.0
288,#69 Samskar Colony,2022,A,126 min,Romance            ,6.5
289,Street Fighter: The Legend of Chun-Li,2009,PG-13,96 min,"Action, Adventure, Crime            ",7.9
290,Rangasthalam,2018,UA,170 min,"Action, Drama            ",6.8
291,Little Things,2016–,U,16 min,"Comedy, Romance            ",7.4
292,Sooryavanshi,2021,UA,145 min,"Action, Crime, Thriller            ",7.0
293,Heropanti 2,2022,UA,145 min,"Action, Comedy, Crime            ",5.1
294,Annaatthe,2021,UA,163 min,"Action, Comedy, Drama            ",8.9
295,Jawaani Jaaneman,2020,UA,119 min,"Comedy, Drama            ",6.7
296,Padman,2018,UA,140 min,"Biography, Comedy, Drama            ",8.1
297,Chandigarh Kare Aashiqui,2021,UA,117 min,"Comedy, Crime, Drama            ",8.1
298,Guilty Minds,2022–,A,50 min,Drama            ,6.6
299,Ghoul,2018,16,45 min,"Drama, Fantasy, Horror            ",4.9
300,Alpha and Omega,2010,PG,90 min,"Animation, Adventure, Comedy            ",4.6
301,Campus Diaries,2022–,UA 16+,40 min,"Comedy, Drama, Romance            ",7.9
302,Ammu,II 2022,U,136 min,Drama            ,6.5
303,Talvar,2015,UA,132 min,"Crime, Drama, Mystery            ",7.2
304,Munna Bhai M.B.B.S.,2003,U,156 min,"Comedy, Drama            ",6.0
305,Thank You for Your Service,I 2017,A,109 min,"Biography, Drama, War            ",4.4
306,Plan A Plan B,2022,UA 16+,105 min,"Comedy, Romance            ",8.7
307,Jab We Met,2007,U,138 min,"Comedy, Drama, Romance            ",8.3
308,Rab Ne Bana Di Jodi,2008,U,167 min,"Comedy, Drama, Music            ",8.3
309,Chennai Express,2013,UA,141 min,"Action, Comedy, Drama            ",8.4
310,Ghost Stories,2020,18,144 min,"Horror, Thriller            ",8.1
311,Main Hoon Na,2004,UA,179 min,"Action, Comedy, Drama            ",7.3
312,Soorarai Pottru,2020,U,153 min,Drama            ,7.4
313,Made in Heaven,2019–,16+,50 min,"Drama, Romance            ",8.7
314,Kahaani Ghar Ghar Kii,2000–2008,Not Rated,20 min,Drama            ,7.3
315,Ratsasan,2018,UA,170 min,"Crime, Drama, Mystery            ",8.1
316,Asur: Welcome to Your Dark Side,2020–,18,43 min,"Crime, Drama, Mystery            ",8.1
317,Pink,III 2016,UA,136 min,"Crime, Drama, Thriller            ",7.4
318,Charmsukh,2019–,A,18 min,Short            ,8.3
319,Jhund,2022,UA,176 min,"Biography, Drama, Sport            ",4.8
320,Mard Ko Dard Nahin Hota,2018,UA,134 min,"Action, Comedy            ",8.0
321,Dil Chahta Hai,2001,Unrated,183 min,"Comedy, Drama, Romance            ",6.3
322,Sadak,1991,A,134 min,"Action, Drama, Romance            ",5.3
323,Queen,2013,UA,146 min,"Adventure, Comedy, Drama            ",7.4
324,Raid,2018,UA,122 min,"Action, Crime, Drama            ",2.3
325,Jana Gana Mana,2022,UA,162 min,"Crime, Drama            ",3.9
326,Ishqbaaaz,2016–2019,U,22 min,"Drama, Family, Romance            ",8.3
327,Undekhi,2020–,18,32 min,Crime            ,7.3
328,Chathuram,2022,A,120 min,Drama            ,6.6
329,Paglet,2021,A,40 min,Comedy            ,7.3
330,Baba,2002,U,179 min,"Action, Drama, Fantasy            ",7.0
331,The Good Lie,2014,PG-13,110 min,"Biography, Drama            ",6.5
332,Kirik Party,2016,U,159 min,"Comedy, Drama            ",5.9
333,365 Days,2015,18,110 min,"Drama, Romance            ",6.3
334,Beast,II 2022,UA,155 min,"Action, Comedy, Thriller            ",4.2
335,Ala Vaikunthapurramuloo,2020,UA,163 min,"Action, Comedy, Drama            ",8.1
336,Kochaal,2022,UA,147 min,"Comedy, Drama, Thriller            ",8.9
337,Mardaani 2,2019,UA,103 min,"Action, Crime, Drama            ",9.8
338,Mohabbatein,2000,U,216 min,"Musical, Drama, Romance            ",3.5
339,War,2019,UA,154 min,"Action, Adventure, Thriller            ",7.3
340,Tiger Zinda Hai,2017,UA,161 min,"Action, Adventure, Thriller            ",8.1
341,Naane Varuvean,2022,UA,122 min,"Action, Horror, Thriller            ",7.1
342,Bajrangi Bhaijaan,2015,UA,163 min,"Action, Adventure, Comedy            ",7.2
343,Indori Ishq,2021–,Not Rated,25 min,"Comedy, Drama, Romance            ",7.0
344,Palang Tod,2020–,18,21 min,Drama            ,8.1
345,Rang De Basanti,2006,UA,167 min,"Comedy, Crime, Drama            ",6.9
346,Rocket Boys,2022–,UA 16+,45 min,"Drama, History            ",6.0
347,Kalank,2019,UA,166 min,"Drama, Romance            ",7.4
348,Dasvi,2022,UA 7+,125 min,"Comedy, Drama            ",7.8
349,Barfi!,2012,U,151 min,"Comedy, Drama, Romance            ",8.6
350,Duranga,2022,UA 16+,33 min,"Crime, Drama, Thriller            ",4.5
351,Aamis,2019,UA,107 min,"Drama, Fantasy, Horror            ",7.5
352,Talaash,2012,UA,140 min,"Crime, Drama, Mystery            ",6.2
353,Chak De! India,2007,U,153 min,"Drama, Family, Sport            ",7.1
354,12th Man,2022,UA,163 min,"Drama, Mystery, Thriller            ",7.2
355,Jayeshbhai Jordaar,2022,UA,121 min,"Comedy, Drama            ",7.7
356,Norm of the North,2016,U,88 min,"Animation, Adventure, Comedy            ",6.9
357,Badlapur,2015,A,134 min,"Action, Crime, Drama            ",7.8
358,English Vinglish,2012,U,134 min,"Comedy, Drama, Family            ",9.0
359,The Girl on the Train,2021,16,120 min,"Crime, Drama, Mystery            ",8.6
360,Good Luck Jerry,2022,UA,148 min,"Comedy, Crime, Drama            ",8.7
361,Shaadi Mein Zaroor Aana,2017,UA,137 min,"Drama, Romance            ",7.5
362,Dil Diyan Gallan,2019,UA,122 min,"Drama, Romance            ",7.2
363,Master,2021,UA,178 min,"Action, Thriller            ",5.9
364,X-Ray: Selected Satyajit Shorts,2021–,16,65 min,"Crime, Drama, Thriller            ",7.4
365,Raat Akeli Hai,2020,18,149 min,"Crime, Drama, Mystery            ",4.2
366,Eega,2012,UA,145 min,"Action, Comedy, Drama            ",7.0
367,Bahu Hamari Rajni Kant,2016–2017,PG,20 min,Comedy            ,7.5
